"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.6885266475691e-38,1.60335825366288,0.433,0.205,4.81138728848966e-34,"Tumor Core","CCT5"
1.52338394657432e-27,1.58230307036556,0.419,0.235,2.7262479107894e-23,"Tumor Core","TNFSF10"
1.11154846859433e-50,1.56950252969101,0.588,0.32,1.98922713939642e-46,"Tumor Core","TUBA4A"
3.03664031435701e-27,1.52868375158809,0.393,0.206,5.43437150657331e-23,"Tumor Core","TYMP"
4.81187521284105e-53,1.52790039663502,0.607,0.332,8.61133188090035e-49,"Tumor Core","ACTN1"
7.06380187186748e-15,1.50001491756656,0.271,0.147,1.2641379829894e-10,"Tumor Core","PKP3"
2.89874844560186e-22,1.49252538160563,0.367,0.198,5.18760021824909e-18,"Tumor Core","PLS3"
4.76888906800931e-30,1.48708946877466,0.412,0.21,8.53440387610946e-26,"Tumor Core","C19orf33"
1.24114095540376e-26,1.48124076454668,0.405,0.221,2.22114585379057e-22,"Tumor Core","TMEM189"
3.85935439775868e-40,1.48022162755308,0.531,0.292,6.90670063022893e-36,"Tumor Core","PSMB2"
4.87040077922375e-60,1.47494829126578,0.617,0.288,8.71606923449883e-56,"Tumor Core","LAMB3"
6.54241668283798e-28,1.468554076909,0.336,0.155,1.17083088956068e-23,"Tumor Core","SLC7A5"
1.73623118017678e-29,1.46598267578002,0.405,0.206,3.10715932004437e-25,"Tumor Core","MYO10"
3.87030240060761e-23,1.45615294819776,0.362,0.188,6.92629317612738e-19,"Tumor Core","LYZ"
4.32352843210685e-14,1.45272290899281,0.252,0.136,7.73738648209842e-10,"Tumor Core","UBE2H"
1.85713292245649e-21,1.44497039018654,0.321,0.163,3.32352507802814e-17,"Tumor Core","PTHLH"
4.58181637605229e-09,1.44494272803718,0.25,0.16,8.19961858658317e-05,"Tumor Core","APOL1"
2.1182092473949e-39,1.43613708502078,0.564,0.328,3.79074726913791e-35,"Tumor Core","SET"
1.88533367005572e-16,1.43427808340582,0.288,0.157,3.37399313593171e-12,"Tumor Core","MYO1B"
4.23316515294627e-59,1.43237850243183,0.617,0.289,7.57567235771264e-55,"Tumor Core","ITGA3"
6.63732605347522e-17,1.42633193480092,0.262,0.133,1.18781587052992e-12,"Tumor Core","CDK6"
1.67383636492123e-20,1.42216416034177,0.338,0.178,2.99549755866304e-16,"Tumor Core","RHOD"
6.93066725219231e-39,1.41199290556018,0.581,0.35,1.24031221145234e-34,"Tumor Core","HSPA5"
6.0040616306651e-21,1.39791442810624,0.369,0.202,1.07448686942383e-16,"Tumor Core","GLO1"
8.69890943867969e-29,1.39490808886508,0.445,0.249,1.55675683314612e-24,"Tumor Core","PSMB4"
1.02717272704832e-29,1.39024468091372,0.419,0.217,1.83822831232568e-25,"Tumor Core","COTL1"
6.46925730911731e-20,1.37759307247252,0.343,0.187,1.15773828803963e-15,"Tumor Core","PPP1R14C"
3.10426622917161e-20,1.37304515623718,0.329,0.173,5.55539484372552e-16,"Tumor Core","ANP32E"
5.13047682826478e-31,1.35230894995251,0.443,0.227,9.18150133186265e-27,"Tumor Core","ITGB4"
2.97156253341747e-62,1.34823922169322,0.755,0.476,5.31790830980391e-58,"Tumor Core","HLA-DRA"
2.43694352033558e-48,1.34232595626537,0.662,0.395,4.36115412399255e-44,"Tumor Core","TXN"
2.76351863125077e-11,1.33695766479138,0.276,0.171,4.94559294248637e-07,"Tumor Core","SNRPC"
8.96039706005534e-23,1.33648969237758,0.412,0.24,1.6035526578675e-18,"Tumor Core","CLTB"
1.49369246932517e-14,1.3347489522195,0.283,0.16,2.67311204310432e-10,"Tumor Core","DDT"
6.15478637858353e-23,1.33075953969858,0.421,0.247,1.10146057031131e-18,"Tumor Core","DSTN"
1.1085898209606e-67,1.32905745176553,0.719,0.346,1.98393234359108e-63,"Tumor Core","LAMC2"
1.77825737981339e-15,1.3215339807524,0.352,0.218,3.18236940691404e-11,"Tumor Core","SRPRA"
1.91697179790918e-15,1.30340075826166,0.279,0.148,3.43061272953828e-11,"Tumor Core","IFI30"
1.13797557129469e-16,1.30245453661537,0.31,0.169,2.03652108238897e-12,"Tumor Core","DDX21"
1.98593470731165e-23,1.29383450607501,0.44,0.265,3.55402875220493e-19,"Tumor Core","LY6E"
5.87687971581038e-25,1.2834487788486,0.395,0.206,1.05172639394143e-20,"Tumor Core","LAMA3"
2.02901214449141e-12,1.27867750130374,0.271,0.158,3.63112013378183e-08,"Tumor Core","LAD1"
1.33619374158896e-27,1.2771812367552,0.495,0.296,2.3912523199476e-23,"Tumor Core","DEK"
4.69660923790159e-17,1.27608200406048,0.383,0.241,8.4050518921487e-13,"Tumor Core","FSCN1"
3.97339129048801e-16,1.26149467873627,0.312,0.173,7.11078105345734e-12,"Tumor Core","BLCAP"
8.9280990814501e-14,1.25919944898167,0.329,0.203,1.59777261161631e-09,"Tumor Core","PMEPA1"
1.69039098356667e-21,1.25788879589075,0.41,0.242,3.02512370419092e-17,"Tumor Core","PSMD2"
3.28007509312128e-15,1.25740775446375,0.274,0.148,5.87002238664984e-11,"Tumor Core","LRRC59"
3.71901627173887e-12,1.25441341029225,0.298,0.181,6.65555151990389e-08,"Tumor Core","TNFRSF12A"
1.27571154450373e-42,1.24033978993303,0.681,0.476,2.28301338004387e-38,"Tumor Core","HSP90AA1"
2.68553353865575e-90,1.23542605284159,0.902,0.466,4.80603082077834e-86,"Tumor Core","S100A2"
1.027326966812e-11,1.23125850889488,0.305,0.194,1.83850433980675e-07,"Tumor Core","STAT1"
3.64482430679589e-39,1.2144849908759,0.612,0.388,6.52277757944192e-35,"Tumor Core","TXNL4A"
1.06496003939625e-18,1.20735330288803,0.395,0.243,1.90585248650352e-14,"Tumor Core","RAB5IF"
2.09029531222154e-11,1.20574333860241,0.26,0.154,3.74079249075167e-07,"Tumor Core","SLC16A1"
5.46906343523776e-26,1.19632287459614,0.514,0.317,9.78743592370149e-22,"Tumor Core","HLA-DPA1"
2.96480162857073e-27,1.19622115461431,0.44,0.246,5.30580899449018e-23,"Tumor Core","EIF4G1"
4.85767350724942e-14,1.18729367799232,0.307,0.181,8.69329250857356e-10,"Tumor Core","SPINT2"
1.0156484898528e-12,1.17669920593578,0.324,0.199,1.81760453744057e-08,"Tumor Core","NIBAN2"
2.10670344498019e-17,1.17448143200907,0.367,0.22,3.77015648513655e-13,"Tumor Core","GRN"
5.05931796213047e-16,1.17436654413191,0.35,0.212,9.05415542502869e-12,"Tumor Core","ERH"
1.31637360512122e-46,1.14338703148237,0.714,0.49,2.35578220372493e-42,"Tumor Core","IFI6"
1.4077981125669e-06,1.11823664663665,0.279,0.203,0.0251939550224972,"Tumor Core","NEDD8"
5.57114511097971e-69,1.11324514737841,0.914,0.729,9.9701212906093e-65,"Tumor Core","UBC"
1.2620891815113e-14,1.10677237737829,0.383,0.249,2.25863479923263e-10,"Tumor Core","SUMO3"
7.26361596629e-09,1.10448430719637,0.305,0.21,0.000129989671332726,"Tumor Core","ILF3"
1.41929770796838e-11,1.09827072813303,0.314,0.2,2.53997517818021e-07,"Tumor Core","AURKAIP1"
3.1197492825572e-10,1.09752216314381,0.281,0.179,5.58310331606436e-06,"Tumor Core","RNH1"
6.0585881044986e-13,1.09200277142325,0.355,0.231,1.08424492718107e-08,"Tumor Core","VCP"
9.19321263668044e-19,1.08950481258901,0.421,0.26,1.64521733346033e-14,"Tumor Core","EHD2"
2.72676099738472e-08,1.07625889725386,0.29,0.202,0.00048798114809197,"Tumor Core","CLSTN1"
3.43496288631751e-40,1.07616584143637,0.702,0.465,6.14720958135382e-36,"Tumor Core","ENO1"
1.11345494520401e-17,1.07518975513299,0.326,0.178,1.99263896993709e-13,"Tumor Core","HLA-DRB1"
2.1147375385006e-20,1.0628111846166,0.54,0.388,3.78453429890068e-16,"Tumor Core","UQCRB"
1.51767451956617e-07,1.0591926154315,0.267,0.182,0.00271603032021562,"Tumor Core","PTPRF"
2.30749392967557e-14,1.05306576371902,0.364,0.229,4.1294911365474e-10,"Tumor Core","PRNP"
2.18399294241456e-08,1.05155141171972,0.302,0.211,0.00039084737697451,"Tumor Core","EIF3G"
1.26805882811718e-13,1.04492091969217,0.36,0.232,2.2693180787985e-09,"Tumor Core","GOLPH3"
4.53240655041032e-16,1.04462639553288,0.44,0.293,8.1111947626143e-12,"Tumor Core","PLSCR1"
1.09077742318034e-17,1.03624678914461,0.414,0.262,1.95205527652353e-13,"Tumor Core","BSG"
1.02879452280396e-06,1.03503606771955,0.283,0.206,0.0184113067800996,"Tumor Core","COMT"
3.65182892130904e-57,1.02982267192283,0.824,0.527,6.53531303757465e-53,"Tumor Core","S100A11"
1.39489792776234e-70,1.02362622939906,0.355,0.09,2.49630933152348e-66,"Tumor Core","KLK10"
9.20461393759236e-08,1.0115647840778,0.26,0.175,0.00164725771027153,"Tumor Core","SLC38A5"
6.21127233392412e-08,0.979542439186332,0.257,0.172,0.00111156929687906,"Tumor Core","TSPO"
7.78604677027568e-12,0.972047674797004,0.364,0.238,1.39339093000854e-07,"Tumor Core","AGRN"
1.71968321911293e-19,0.964594779247445,0.421,0.249,3.0775450889245e-15,"Tumor Core","CAV2"
1.55616824633119e-21,0.94168035224133,0.574,0.412,2.78491869363429e-17,"Tumor Core","TMED2"
2.88157455449485e-07,0.932796408920219,0.264,0.18,0.00515686582272398,"Tumor Core","SNRPD1"
1.64770129762821e-08,0.932408648715691,0.267,0.175,0.000294872624223545,"Tumor Core","MOB1A"
4.10154401776073e-10,0.931133522285804,0.324,0.218,7.3401231741846e-06,"Tumor Core","COX6C"
6.12120739675148e-12,0.9308389084573,0.398,0.273,1.09545127572264e-07,"Tumor Core","RALY"
6.34021747422844e-35,0.92980137917507,0.676,0.459,1.13464531918792e-30,"Tumor Core","CHCHD2"
2.05497179831179e-12,0.927063030284618,0.371,0.243,3.67757753025877e-08,"Tumor Core","HSPD1"
1.71182610785596e-05,0.920046692531479,0.262,0.192,0.306348400261903,"Tumor Core","TRMT112"
1.88668911157988e-35,0.91501350621952,0.59,0.316,3.37641883408336e-31,"Tumor Core","ITGA6"
1.09286447412371e-61,0.913569192669463,0.938,0.637,1.9557902628918e-57,"Tumor Core","FN1"
1.2206633351516e-06,0.909474958491898,0.269,0.189,0.021844991045873,"Tumor Core","H3F3B"
2.66689779760889e-31,0.900698163553293,0.705,0.482,4.77268029860086e-27,"Tumor Core","IFI27"
1.64338282737702e-09,0.896287316893175,0.276,0.18,2.94099790787391e-05,"Tumor Core","PPM1G"
6.65110396501331e-14,0.88585458827869,0.395,0.26,1.19028156557878e-09,"Tumor Core","APLP2"
1.51352521727468e-06,0.883925907119963,0.269,0.188,0.0270860472883477,"Tumor Core","PGD"
4.63378004182301e-11,0.879216790888069,0.383,0.266,8.29261276284646e-07,"Tumor Core","ROMO1"
9.24227646608126e-12,0.877130459178993,0.36,0.239,1.6539977963699e-07,"Tumor Core","EIF3M"
4.30700418856646e-06,0.869725824423623,0.257,0.183,0.0770781469585854,"Tumor Core","RAB2A"
2.98951965615245e-06,0.866533427175022,0.274,0.194,0.0535004437665043,"Tumor Core","BCAM"
1.69876691097861e-07,0.861049354978821,0.352,0.266,0.00304011326388733,"Tumor Core","IQGAP1"
4.20447823056595e-06,0.85908828177723,0.276,0.202,0.0752433424142083,"Tumor Core","XRCC6"
0.000171766881126101,0.84743539087161,0.25,0.188,1,"Tumor Core","ZFAND5"
5.3997182820793e-07,0.843879511697323,0.352,0.271,0.00966333583760911,"Tumor Core","P4HB"
7.35041645092457e-11,0.843762914518446,0.345,0.233,1.31543052805746e-06,"Tumor Core","PTGES3"
3.31600084967623e-05,0.83807287527104,0.276,0.209,0.593431512058059,"Tumor Core","GADD45GIP1"
5.54601357334019e-06,0.833893588672898,0.281,0.21,0.099251458908496,"Tumor Core","NDUFB7"
1.31346123445991e-07,0.832252533473015,0.271,0.185,0.00235057022518946,"Tumor Core","CD68"
