"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.19153251712046,0.849,0.261,0,"0","COX16"
0,1.18920450048806,0.696,0.176,0,"0","BMI1"
0,1.18724999872921,0.646,0.151,0,"0","GALNT6"
0,1.18614794312901,0.645,0.16,0,"0","MIOS"
0,1.18606846928571,0.887,0.296,0,"0","MED13"
0,1.18549359334183,0.877,0.283,0,"0","POMP"
0,1.17807535484738,0.899,0.292,0,"0","ETFA"
0,1.17618554678947,0.623,0.153,0,"0","MSH6"
0,1.17488616992446,0.774,0.226,0,"0","HADHB"
0,1.1737117113695,0.609,0.147,0,"0","FAM136A"
0,1.17329680990182,0.556,0.132,0,"0","ECT2"
0,1.17256162298755,0.993,0.479,0,"0","PSMC5"
0,1.16941178149778,0.78,0.221,0,"0","MTIF3"
0,1.16871374131467,0.645,0.161,0,"0","MCM4"
0,1.16844979043273,0.657,0.167,0,"0","SNRNP25"
0,1.16674578538514,0.53,0.119,0,"0","SELENOI"
0,1.16207017295821,0.991,0.392,0,"0","MLPH"
0,1.15823916625228,0.618,0.152,0,"0","HLTF"
0,1.15680560715595,0.789,0.239,0,"0","DPY30"
0,1.15623805699791,0.976,0.354,0,"0","AZGP1"
0,1.15237812345694,0.653,0.165,0,"0","SDR16C5"
0,1.15171722881791,0.622,0.154,0,"0","HELLS"
0,1.14847228596026,0.681,0.168,0,"0","ESRP1"
0,1.14743818071202,0.779,0.217,0,"0","FUCA2"
0,1.14711490409552,0.847,0.269,0,"0","HSPD1"
0,1.14596360037913,0.523,0.112,0,"0","GAMT"
0,1.14356545372026,0.846,0.262,0,"0","RTF2"
0,1.14307402599254,0.768,0.226,0,"0","ACSL3"
0,1.14301041071624,0.734,0.208,0,"0","FH"
0,1.14012820396457,0.606,0.152,0,"0","HIST1H2BH"
0,1.13908519566862,0.535,0.13,0,"0","GFM2"
0,1.13861204599828,0.525,0.122,0,"0","SORD"
0,1.13705835089525,0.78,0.216,0,"0","ERBB3"
0,1.13705544663382,0.752,0.21,0,"0","CCT3"
0,1.13555977812704,0.629,0.155,0,"0","INPP4B"
0,1.133802155746,0.763,0.21,0,"0","CAPN13"
0,1.13356957617915,0.835,0.258,0,"0","DCXR"
0,1.13146680410763,0.936,0.36,0,"0","POLR1D"
0,1.13026300243759,0.864,0.281,0,"0","PIK3R3"
0,1.12800100418774,0.858,0.269,0,"0","SEC22B"
0,1.12658928684625,0.508,0.115,0,"0","GPN1"
0,1.12503477514627,0.831,0.247,0,"0","MCCC2"
0,1.12435716904816,0.542,0.127,0,"0","TOP2A"
0,1.12353208397953,0.607,0.157,0,"0","RUSC1"
0,1.1217071975378,0.543,0.132,0,"0","GNPNAT1"
0,1.12116011216997,0.974,0.41,0,"0","SMARCD2"
0,1.11870983459706,0.909,0.33,0,"0","NUCKS1"
0,1.11867817051642,0.631,0.16,0,"0","SF3B6"
0,1.1173546007271,0.561,0.14,0,"0","SNRPE"
0,1.11556279911081,0.924,0.341,0,"0","CREB3L1"
0,1.11454196965453,0.57,0.141,0,"0","IMMP2L"
0,1.11412999708444,0.544,0.121,0,"0","LAGE3"
0,1.11326650584537,0.553,0.136,0,"0","BCAT2"
0,1.11293710108287,0.662,0.173,0,"0","HID1"
0,1.11291835930559,0.875,0.285,0,"0","JPT2"
0,1.11247958339772,0.805,0.24,0,"0","PAFAH1B3"
0,1.112305533569,0.93,0.344,0,"0","HMG20B"
0,1.10838538468104,0.632,0.156,0,"0","TRAP1"
0,1.10768799687447,0.995,0.495,0,"0","CCDC47"
0,1.1045451320231,0.618,0.154,0,"0","NEDD4L"
0,1.10147084569511,0.573,0.141,0,"0","CENPX"
0,1.09707618820935,0.534,0.129,0,"0","DHTKD1"
0,1.09630311189069,0.633,0.165,0,"0","LIMCH1"
0,1.09565265438085,0.571,0.141,0,"0","ACADSB"
0,1.09523021584996,0.528,0.13,0,"0","FAH"
0,1.09221405765924,0.563,0.137,0,"0","MSH2"
0,1.09215961460355,0.592,0.15,0,"0","MPC2"
0,1.09104761818284,0.549,0.136,0,"0","MYEF2"
0,1.088980027404,0.731,0.2,0,"0","ATP1B1"
0,1.0875223494317,0.582,0.152,0,"0","CBX4"
0,1.08564939728023,0.682,0.187,0,"0","HSPA9"
0,1.08432810401546,0.557,0.138,0,"0","TFDP2"
0,1.08188293680687,0.673,0.163,0,"0","TRIM33"
0,1.08102730953229,0.764,0.23,0,"0","DBI"
0,1.08090552720561,0.901,0.324,0,"0","LRPPRC"
0,1.0804469383193,0.542,0.134,0,"0","CCDC149"
0,1.07779345308491,0.707,0.195,0,"0","LMNB1"
0,1.0749584066563,0.527,0.13,0,"0","MVK"
0,1.07407745560728,0.598,0.15,0,"0","PHF8"
0,1.07339523577908,0.963,0.402,0,"0","SLC25A39"
0,1.07020027219304,0.616,0.157,0,"0","AIFM1"
0,1.06938342936898,0.717,0.2,0,"0","VAPB"
0,1.06870724979574,0.589,0.155,0,"0","GGPS1"
0,1.0650777762718,0.53,0.128,0,"0","ADCY6"
0,1.06479421689645,0.981,0.464,0,"0","S100A16"
0,1.06323470015612,0.832,0.28,0,"0","HSPE1"
0,1.06100293830024,0.818,0.26,0,"0","TRAF4"
0,1.05913504857811,0.887,0.32,0,"0","TC2N"
0,1.05768429657283,0.643,0.171,0,"0","GSDMB"
0,1.05745133087392,0.783,0.234,0,"0","H2AFZ"
0,1.05627587217445,0.935,0.361,0,"0","SLC9A3R1"
0,1.05478350040041,0.544,0.127,0,"0","CKS1B"
0,1.05306313865338,0.92,0.357,0,"0","ADI1"
0,1.05268157168108,0.684,0.192,0,"0","CLUH"
0,1.05141492075393,0.559,0.138,0,"0","DHFR"
0,1.04928734317892,0.866,0.285,0,"0","MGST1"
0,1.04814073625213,0.592,0.161,0,"0","HSPA4"
0,1.0438257199265,0.756,0.228,0,"0","LRIG1"
0,1.04289671742775,0.701,0.198,0,"0","SLC50A1"
0,1.04153811753852,0.524,0.131,0,"0","SPOPL"
0,1.04099424876297,0.566,0.144,0,"0","CCDC125"
0,1.04034778642144,0.743,0.215,0,"0","FTSJ3"
0,1.03949387463951,0.921,0.368,0,"0","ATP5F1B"
0,1.03737931994424,0.553,0.139,0,"0","PFKP"
0,1.03689758496774,0.964,0.455,0,"0","KIF5B"
0,1.03627882134516,0.561,0.145,0,"0","UCK2"
0,1.03593938698667,0.837,0.271,0,"0","ERGIC1"
0,1.03593480001951,0.945,0.368,0,"0","PERP"
0,1.03478356882519,0.568,0.145,0,"0","MTIF2"
0,1.03354699276308,0.929,0.367,0,"0","HIST1H1D"
0,1.03157965066565,0.665,0.19,0,"0","PEX13"
0,1.03026753072282,0.629,0.172,0,"0","CBX5"
