Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000108953,YWHAE,Gene Expression,0.23031034959816502,0.0,0.0,44392,4.219970327888121,4202
ENSG00000164070,HSPA4L,Gene Expression,0.23030938012975208,0.0,0.0,3190,0.2410717819840523,1447
ENSG00000005249,PRKAR2B,Gene Expression,0.2302489891905095,0.0,0.0,8897,1.2895759885882878,2734
ENSG00000134762,DSC3,Gene Expression,0.23019988641330588,0.0,0.0,2009,0.1809714432362241,866
ENSG00000110435,PDHX,Gene Expression,0.23007437147795434,0.0,0.0,8168,0.7056649206444972,2395
ENSG00000168827,GFM1,Gene Expression,0.2300690803318658,0.0,0.0,12380,1.0820790725020162,2858
ENSG00000032389,EIPR1,Gene Expression,0.2298194311643868,0.0,0.0,9414,0.7845745677023535,2559
ENSG00000160957,RECQL4,Gene Expression,0.22973714741343398,0.0,0.0,4693,0.36693025803234014,1822
ENSG00000172943,PHF8,Gene Expression,0.2296615648973712,0.0,0.0,11703,1.026702734267805,2800
ENSG00000112769,LAMA4,Gene Expression,0.2296211404195551,0.0,0.0,8940,2.205103002304159,3619
ENSG00000009790,TRAF3IP3,Gene Expression,0.22953122093224765,0.0,0.0,4412,0.6628501022960067,1996
ENSG00000075303,SLC25A40,Gene Expression,0.22942984056259252,0.0,0.0,7874,0.6607892654200686,2413
ENSG00000101365,IDH3B,Gene Expression,0.2293675734862,0.0,0.0,17588,1.5885292089269007,3314
ENSG00000170315,UBB,Gene Expression,0.22936183470163515,0.0,0.0,60156,5.73035282859177,4423
ENSG00000177606,JUN,Gene Expression,0.22933860675407097,0.0,0.0,20204,3.7312099559317065,4388
ENSG00000106028,SSBP1,Gene Expression,0.2292176105780238,0.0,0.0,14791,1.2859901407299557,3016
ENSG00000166477,LEO1,Gene Expression,0.22916823024760605,0.0,0.0,11276,0.9667634930949509,2727
ENSG00000213639,PPP1CB,Gene Expression,0.22915622443513578,0.0,0.0,32382,3.0618082526350276,3915
ENSG00000105219,CNTD2,Gene Expression,0.22909272475829598,0.0,0.0,3025,0.2238914070296789,1365
ENSG00000074370,ATP2A3,Gene Expression,0.22904052551689105,0.0,0.0,7726,0.8739221807537546,2773
ENSG00000105778,AVL9,Gene Expression,0.22895215726620516,0.0,0.0,11567,0.9881603569685279,2795
ENSG00000189221,MAOA,Gene Expression,0.22894956421844204,0.0,0.0,904,0.4443359128460631,756
ENSG00000179913,B3GNT3,Gene Expression,0.22886575679416843,0.0,0.0,2366,0.1897612130310479,1103
ENSG00000113328,CCNG1,Gene Expression,0.22886176396188931,0.0,0.0,20851,1.9169759329959206,3462
ENSG00000156650,KAT6B,Gene Expression,0.22881072759293938,0.0,0.0,18847,1.704705131198686,3325
ENSG00000073282,TP63,Gene Expression,0.2285887203449683,0.0,0.0,1902,0.1890995633975678,900
ENSG00000162692,VCAM1,Gene Expression,0.2285851828607725,0.0,0.0,8203,1.7756391240312572,3110
ENSG00000184557,SOCS3,Gene Expression,0.22856952737263242,0.0,0.0,6088,1.314348597838103,2863
ENSG00000095002,MSH2,Gene Expression,0.2283129933331359,0.0,0.0,10631,0.9098571421312566,2644
ENSG00000029725,RABEP1,Gene Expression,0.2282468379846536,0.0,0.0,13522,1.2092262838125287,2955
ENSG00000141582,CBX4,Gene Expression,0.22792274533711276,0.0,0.0,12221,1.0907054149023825,2901
ENSG00000138346,DNA2,Gene Expression,0.2278493875277051,0.0,0.0,4514,0.3383852627450893,1756
ENSG00000108091,CCDC6,Gene Expression,0.2276843865246967,0.0,0.0,23310,2.1493604136918494,3584
ENSG00000167863,ATP5PD,Gene Expression,0.227605423164028,0.0,0.0,22619,2.0578928109871755,3492
ENSG00000078114,NEBL,Gene Expression,0.22751677976122936,0.0,0.0,8087,0.6581108397119775,2331
ENSG00000198542,ITGBL1,Gene Expression,0.2275050933577305,0.0,0.0,4598,0.6594368560575498,2109
ENSG00000122176,FMOD,Gene Expression,0.22725934586534854,0.0,0.0,7433,1.8571166712897147,3353
ENSG00000099958,DERL3,Gene Expression,0.22724676139495065,0.0,0.0,3253,0.507724846072292,1558
ENSG00000160593,JAML,Gene Expression,0.22713174957574778,0.0,0.0,3611,0.536972651405122,1803
ENSG00000136518,ACTL6A,Gene Expression,0.2271000935718013,0.0,0.0,8972,0.7547555394689349,2523
ENSG00000173473,SMARCC1,Gene Expression,0.22681030436588503,0.0,0.0,17088,1.5717735646419848,3234
ENSG00000117394,SLC2A1,Gene Expression,0.2267391014128483,0.0,0.0,5019,0.4987205898462116,2000
ENSG00000120694,HSPH1,Gene Expression,0.22662659193824866,0.0,0.0,19035,1.7262832045754153,3363
ENSG00000110799,VWF,Gene Expression,0.22661061294729126,0.0,0.0,11158,2.1503498937458096,3232
ENSG00000167286,CD3D,Gene Expression,0.22657909086870265,0.0,0.0,3979,0.5605452232904079,1765
