dataset,mu,phi,RPL19,TUBB,EEF1G,PPIA,GAPDH,ABCF1,SDHA,OAZ1,G6PD,ALAS1,GUSB,HPRT1,POLR2A,POLR1B,TBP
PRAD-072-08-1A,4066.2231670880255,0.6225472616465163,3.631702674112875,0.49612557214814335,2.9239938143561184,1.466643045278676,1.877410621615143,0.13705357066490617,0.24920137417180532,2.128719747961162,0.0733692887435092,0.11529672170548659,0.14114889982856968,0.14455240123038587,0.30139597949312324,0.015061856274042563,0.02389266640600223
PRAD-082-11-1A,5847.503680743897,0.5757559073967367,2.6902359847064874,0.4206855308455179,1.7462433322127453,1.2237479503267144,1.5941775427969316,0.3501057220909331,0.21638295490681303,1.2612318622981125,0.0637537739141192,0.1234445141597945,0.15786985048928634,0.17554249491508755,0.45637844396602884,0.0342671896911299,0.03841428734032598
GBM-019-29-1D,1985.4546652030735,1.6143519750284134,1.6654477646699373,0.6965602676254188,0.0,1.6934423380074872,1.0671025714360562,0.3573562630791774,0.09057005214514652,1.1616201898032454,0.2041355517222152,0.12369999223075624,0.09409229045861144,0.11355326512365797,0.14226362857430616,0.04258963384061622,0.040100806574381136
PDAC-091-18-1A,7396.809283551967,0.7012191728235758,3.069559820336486,0.807736341945285,1.5905804249490192,1.7773503827122588,3.135921441307509,0.2462497304356285,0.2240964774316101,2.2116161459763646,0.2689843037195509,0.15491335089856512,0.23668222901381983,0.19242071522235032,0.27305040979512574,0.04756832871370036,0.1061189017717995
ESCC-048-04-1A,8232.373572335026,1.355705694099263,2.6447051976389626,0.618560370186261,1.721034465337176,1.6111581988816592,1.9853166820459296,0.2552961437525067,0.26855908252894567,1.8274959295583804,0.06347220849629327,0.12340567610008771,0.1744601571303233,0.22354161256422359,0.4981285917804734,0.04202474702138146,0.05022750939219313
PRAD-082-25-1A,8812.541184146143,0.3317750375077322,2.9072805190398308,0.23401285931399035,1.4764855156170795,1.3250836736959095,1.7819528379951566,0.6529274074158544,0.2245512445299937,1.4407131277072462,0.06848828281841286,0.18314169823477244,0.13896951892679144,0.24883861476733593,0.5542037542065907,0.04572964446035389,0.058053896257167524
MCC-122-05-1A,6974.2266551026305,0.3648817334213994,3.4610803322836805,1.1061461848527243,2.1815901261306623,1.7809764083821116,2.193829216002405,0.42040176155235437,0.3502572084984431,1.900004408312341,0.07670260533037869,0.08252112898428456,0.19743906813695614,0.23843881817742985,0.3836111623623284,0.07009911084612305,0.1046971598439343
CRC-101-13-1A,3319.554377169302,0.6408035973261711,0.2108042302795252,0.08794098069627607,0.34636844710386966,0.31641899225043696,0.365990744545352,0.11140955218819514,0.37587309082652764,0.15149180430564094,0.014275659243313945,0.08674150241261554,0.0764010472445186,0.13979393809353724,0.19622682413405476,0.10487894170021525,0.06524804978886387
ESCC-048-30-1A,10365.495098039215,0.4636794726218564,2.9815692429580043,0.6278512299288462,1.7742869778288468,1.708717016061786,1.7432127181781059,0.3732195799440232,0.2853436098915669,1.6495169076896827,0.1263074314057225,0.09773815875846026,0.25905589265019763,0.1319146364314287,0.6434059582529993,0.04775397539777817,0.060659486731065984
BLCA-031-06-1A,1476.029321710313,0.33501091078864714,2.672301601831816,0.38846554684309137,1.8080068420846036,1.1339286273771738,1.7094736649265403,0.2941306128412787,0.04650535979920857,1.1636187920863414,0.09919317215060397,0.044373597662473487,0.062111559601543756,0.20029390731234745,0.12628476275985193,0.02219093804368271,0.02614207485837516
HNSCC-121-08-1A,6700.048298834166,0.6616862439365858,3.4349046100149225,0.9893149113290518,2.0196438872409344,2.52431321890324,3.1666348942968625,0.1797411506577501,0.3071866051880249,2.161546325028144,0.17258919189149985,0.13708993268514452,0.2866728285026094,0.2573474281525631,0.23674063219377076,0.03121370638330985,0.13968593922912814
TNBC-021-04-1A,8416.61150712831,1.05579165225799,3.086189441835588,0.7973653626019053,0.012578823365534526,1.5903602186877646,2.860704400579686,0.4392640895191782,0.25836317562276756,2.1417137538361164,0.1152083163270179,0.13643359801891636,0.22897819224642738,0.21383609131773032,0.32227556261532536,0.04493487657210937,0.03216154293897521
